employee_id,age,country,industry,work_mode,year,weekly_hours_worked,tasks_completed,productivity_score,sleep_hours_avg,exercise_frequency_per_week,mental_health_score,burnout_level,job_satisfaction,salary_usd
EMP000030,56,USA,Finance,On-site,2024,53.9,80,99,7.2,1,100,High,9.2,136800.64
EMP000031,43,Canada,Education,Remote,2019,50.2,101,90,5.6,5,91,Medium,9.2,60030.16
EMP000032,57,Germany,Retail,Hybrid,2022,45.7,87,100,7.8,5,99,Medium,10.0,40241.7
EMP000033,36,UK,Tech,On-site,2021,59.3,100,92,6.6,1,86,High,7.7,62499.87
EMP000034,43,USA,Finance,Hybrid,2018,42.8,103,97,7.4,4,100,Low,10.3,41264.79
EMP000035,59,Australia,Retail,On-site,2022,49.7,73,87,6.2,4,95,Medium,8.7,44419.76
EMP000036,50,Canada,Education,Hybrid,2024,55.7,84,90,7.5,5,97,High,9.6,88993.91
EMP000037,43,France,Tech,Hybrid,2020,31.4,100,100,8.7,0,100,Low,10.1,31836.54
EMP000038,24,Australia,Tech,Remote,2020,48.5,105,100,8.7,0,100,Medium,10.6,111260.2
EMP000039,57,Australia,Retail,Hybrid,2021,48.8,81,97,8.1,1,100,Medium,9.1,62875.34
EMP000040,55,India,Healthcare,Remote,2020,40.1,91,100,7.3,3,100,Low,10.4,70874.95
EMP000041,31,UK,Retail,Remote,2018,56.3,94,92,7.7,2,100,High,11.0,51292.75
EMP000042,56,France,Education,Hybrid,2018,41.2,107,100,7.9,6,100,Low,10.5,133009.53
EMP000043,50,Australia,Retail,Remote,2018,57.1,70,86,6.5,4,96,High,10.4,137462.79
EMP000044,32,France,Retail,Remote,2025,40.6,97,100,8.8,2,100,Low,10.2,89163.08
EMP000045,41,Germany,Education,Hybrid,2022,52.6,105,96,8.0,4,100,High,9.7,95943.47
EMP000046,38,Canada,Healthcare,Remote,2023,59.1,99,92,7.4,1,95,High,9.3,130617.69
EMP000047,47,France,Healthcare,Remote,2024,51.2,87,75,4.4,4,74,Medium,7.9,127535.95
EMP000048,26,Germany,Tech,Hybrid,2020,51.2,84,100,6.4,2,89,Medium,8.4,59846.9
EMP000049,48,Australia,Finance,On-site,2020,47.1,103,100,7.7,5,100,Medium,9.8,119305.4
EMP000050,45,UK,Healthcare,Remote,2022,56.1,74,83,5.1,2,89,High,9.8,149155.78
EMP000051,38,Germany,Retail,Remote,2020,35.0,85,94,5.1,5,100,Low,9.9,118452.08
EMP000052,48,USA,Retail,Remote,2021,40.1,73,88,4.8,0,100,Low,9.5,57527.37
EMP000053,47,Australia,Finance,Hybrid,2022,50.9,84,99,6.7,2,92,Medium,9.8,112167.74
EMP000054,38,Germany,Finance,Hybrid,2025,42.5,95,100,6.9,0,100,Low,10.0,49780.11
EMP000055,31,Australia,Retail,On-site,2018,47.8,74,92,5.9,6,100,Medium,10.7,79778.34
EMP000056,37,UK,Healthcare,On-site,2019,46.0,113,100,7.7,0,100,Medium,9.5,117134.5
EMP000057,29,Germany,Education,On-site,2025,33.9,81,100,8.8,6,100,Low,9.2,110604.08
EMP000058,46,Germany,Tech,Hybrid,2021,44.9,97,95,6.4,5,100,Medium,10.6,127966.29
EMP000059,37,Australia,Education,Hybrid,2020,34.0,113,98,4.1,3,100,Low,11.0,114489.57
EMP000060,54,France,Finance,On-site,2018,49.1,108,97,6.8,3,95,Medium,9.1,95693.56
EMP000061,37,Canada,Finance,On-site,2025,58.5,63,78,4.7,5,84,High,8.4,60989.33
EMP000062,33,UK,Education,Hybrid,2025,36.3,86,100,6.9,5,95,Low,9.9,85214.3
EMP000063,24,USA,Tech,Hybrid,2019,35.5,104,100,5.7,2,100,Low,9.1,110106.93
EMP000064,25,France,Finance,Hybrid,2021,40.4,86,98,5.7,1,95,Low,8.8,94130.82
EMP000065,46,USA,Healthcare,Remote,2023,50.7,72,84,4.2,4,88,Medium,7.8,39811.08
EMP000066,56,Germany,Retail,Hybrid,2023,54.2,84,94,7.7,3,97,High,9.4,74456.65
EMP000067,44,Australia,Healthcare,On-site,2021,51.6,72,86,4.3,1,84,Medium,8.1,119953.95
EMP000068,35,USA,Finance,On-site,2023,33.1,93,100,7.7,3,100,Low,9.5,130885.2
EMP000069,33,Canada,Tech,Remote,2024,47.8,109,100,7.4,6,100,Medium,10.5,40430.43
EMP000070,39,Australia,Healthcare,Hybrid,2020,41.4,117,98,5.7,4,100,Low,10.9,59322.38
EMP000071,42,UK,Finance,Remote,2023,36.8,86,100,5.8,6,100,Low,10.7,40546.51
EMP000072,23,UK,Finance,Hybrid,2023,45.7,115,97,6.1,5,95,Medium,8.8,133860.86
EMP000073,22,Germany,Retail,Hybrid,2023,46.7,108,100,6.9,3,95,Medium,9.5,52445.25
EMP000074,32,Germany,Education,Hybrid,2021,33.4,92,100,7.1,2,100,Low,9.1,48523.53
EMP000075,30,India,Healthcare,Remote,2024,46.5,107,100,6.7,0,93,Medium,8.5,40544.17
EMP000076,35,Australia,Retail,On-site,2021,44.1,95,99,6.1,4,96,Medium,10.1,129674.33
EMP000077,29,Germany,Education,Hybrid,2022,36.2,85,100,5.9,0,100,Low,10.5,35771.36
EMP000078,50,USA,Finance,Remote,2018,54.8,98,86,4.9,0,75,High,7.9,138943.94
EMP000079,28,USA,Education,Hybrid,2024,43.2,89,87,5.9,0,94,Low,10.2,119713.13
EMP000080,22,USA,Finance,Remote,2024,46.3,109,100,8.5,1,100,Medium,9.3,142779.85
EMP000081,35,India,Tech,On-site,2018,56.4,84,91,6.5,4,100,High,10.6,149723.11
EMP000082,53,Australia,Finance,Hybrid,2023,31.0,101,100,6.8,6,100,Low,10.7,71049.81
EMP000083,44,USA,Tech,Remote,2022,48.1,97,90,6.5,6,100,Medium,10.2,79074.62
EMP000084,56,UK,Finance,Hybrid,2023,46.3,75,85,5.3,6,88,Medium,8.7,139014.07
EMP000085,32,Germany,Finance,On-site,2020,57.4,91,78,4.7,3,77,High,8.5,117131.47
EMP000086,25,USA,Tech,On-site,2023,57.7,78,94,7.5,5,90,High,9.9,102805.81
EMP000087,42,Italy,Retail,On-site,2024,57.3,88,76,4.6,6,76,High,7.2,52358.51
EMP000088,35,India,Finance,Hybrid,2018,42.0,80,95,4.3,3,84,Low,8.5,30555.84
EMP000089,31,France,Retail,Hybrid,2020,57.7,89,91,6.3,2,89,High,8.4,100448.19
EMP000090,45,France,Finance,On-site,2023,45.0,84,95,6.1,1,100,Medium,10.3,99670.6
EMP000091,27,Canada,Healthcare,Hybrid,2025,59.3,91,91,6.3,0,89,High,8.5,94208.37
EMP000092,50,India,Education,Remote,2022,52.5,79,84,5.0,2,86,High,7.7,52882.53
EMP000093,34,Germany,Education,On-site,2020,51.4,74,86,6.6,0,100,Medium,9.7,89641.43
EMP000094,59,UK,Tech,On-site,2024,52.6,75,87,5.4,1,93,High,10.0,126089.97
EMP000095,28,Canada,Finance,On-site,2023,30.8,93,100,5.1,4,94,Low,8.8,32365.26
EMP000096,53,Canada,Education,On-site,2021,46.7,106,100,7.6,4,100,Medium,9.8,145517.92
EMP000097,38,UK,Healthcare,On-site,2019,30.4,116,100,4.4,4,89,Low,8.6,80570.95
EMP000098,22,USA,Education,On-site,2018,40.9,84,87,4.2,3,94,Low,8.8,122860.14
EMP000099,42,Canada,Retail,On-site,2025,53.4,80,83,4.6,2,82,High,8.2,86527.85
EMP000100,29,India,Tech,On-site,2021,46.2,82,97,7.2,4,100,Medium,9.3,130191.63
EMP000101,43,France,Tech,Hybrid,2019,50.5,102,100,8.1,0,100,Medium,10.0,89770.89
EMP000102,32,Italy,Tech,Remote,2018,36.2,93,94,4.1,1,96,Low,10.4,102062.02
EMP000103,46,USA,Tech,Hybrid,2018,42.1,81,98,7.9,3,100,Low,10.5,145035.26
EMP000104,49,India,Education,Hybrid,2020,41.7,117,100,5.4,6,90,Low,9.3,65654.61
EMP000105,42,Australia,Tech,Hybrid,2022,52.0,70,82,5.1,0,86,Medium,9.1,89563.95
EMP000106,29,Australia,Tech,On-site,2024,32.3,83,100,7.6,1,100,Low,10.6,82179.28
EMP000107,50,France,Healthcare,On-site,2018,30.2,118,100,4.5,6,94,Low,9.4,145451.85
EMP000108,32,Australia,Retail,Remote,2023,46.3,105,100,8.4,0,100,Medium,10.8,109054.0
EMP000109,32,Canada,Retail,Hybrid,2022,36.6,98,100,8.9,6,100,Low,9.1,51669.04
EMP000110,27,UK,Finance,On-site,2019,38.9,100,100,8.6,6,100,Low,9.1,131345.93
EMP000111,51,Italy,Tech,Hybrid,2019,40.9,108,100,6.8,3,100,Low,10.1,93631.82
EMP000112,24,India,Tech,Remote,2023,53.7,87,91,5.6,2,89,High,9.6,103903.58
EMP000113,50,Germany,Retail,On-site,2023,30.0,94,100,4.9,5,99,Low,9.1,38403.56
EMP000114,36,Australia,Retail,On-site,2022,56.2,108,99,8.9,0,100,High,9.2,80562.84
EMP000115,34,Canada,Finance,On-site,2022,38.9,119,100,8.3,0,100,Low,9.2,63271.88
EMP000116,44,UK,Finance,On-site,2024,33.7,115,100,8.8,5,100,Low,10.2,100626.51
EMP000117,33,Australia,Retail,Hybrid,2023,59.7,95,92,7.7,4,92,High,8.4,130539.09
EMP000118,54,UK,Finance,On-site,2018,41.5,107,92,4.2,1,95,Low,9.6,55958.88
EMP000119,55,Germany,Education,On-site,2025,52.7,107,98,7.5,0,97,High,9.9,56932.87
EMP000120,34,Germany,Education,Remote,2020,55.8,95,81,6.3,3,86,High,7.7,87201.22
EMP000121,35,USA,Education,Hybrid,2025,49.7,102,95,6.8,1,92,Medium,9.3,74722.62
EMP000122,57,Germany,Education,Hybrid,2019,36.6,94,92,7.4,1,100,Low,10.1,101088.93
EMP000123,33,Italy,Tech,On-site,2020,38.0,86,100,8.4,4,100,Low,10.7,132069.81
EMP000124,45,Australia,Education,On-site,2022,57.9,83,73,4.5,2,82,High,9.0,135796.46
EMP000125,30,USA,Education,On-site,2019,54.6,83,91,5.1,5,86,High,8.3,61042.6
EMP000126,37,Germany,Healthcare,On-site,2018,33.5,118,100,5.9,6,99,Low,9.7,32211.33
EMP000127,35,UK,Tech,Remote,2020,58.0,68,79,4.5,3,80,High,7.1,38140.45
EMP000128,30,India,Finance,Remote,2021,44.2,79,98,4.3,2,82,Medium,8.8,101327.5
EMP000129,35,France,Tech,Hybrid,2018,54.6,76,88,5.3,6,85,High,9.2,42263.23
EMP000130,31,Germany,Retail,Hybrid,2018,36.6,118,100,4.4,3,100,Low,10.5,62791.14
EMP000131,36,Germany,Healthcare,Hybrid,2019,55.7,114,99,8.8,6,100,High,10.5,67434.24
EMP000132,55,Australia,Healthcare,On-site,2025,30.9,86,100,7.3,0,100,Low,10.7,86785.19
EMP000133,28,Canada,Education,On-site,2022,53.1,116,100,8.2,1,100,High,10.2,45749.39
EMP000134,35,Italy,Retail,On-site,2023,44.4,81,91,4.6,3,83,Medium,7.4,81636.71
EMP000135,22,India,Education,On-site,2025,53.9,81,85,5.6,6,87,High,8.9,38693.63
EMP000136,52,Australia,Finance,Hybrid,2021,49.7,119,100,7.8,6,100,Medium,10.0,47510.65
EMP000137,42,India,Finance,Hybrid,2023,36.3,81,100,5.7,3,96,Low,9.3,135904.02
EMP000138,59,France,Healthcare,On-site,2024,34.0,106,100,6.8,2,100,Low,9.2,54018.03
EMP000139,26,India,Education,Hybrid,2025,47.8,98,91,7.1,5,100,Medium,10.6,142224.22
EMP000140,27,Italy,Finance,Hybrid,2024,49.8,101,100,6.8,1,100,Medium,9.9,87708.46
EMP000141,38,Italy,Education,Hybrid,2024,31.8,79,97,5.2,3,97,Low,9.8,124763.82
EMP000142,38,UK,Retail,On-site,2020,49.6,94,88,5.7,4,100,Medium,9.8,39783.18
EMP000143,35,Australia,Tech,On-site,2021,37.7,105,100,6.3,3,100,Low,9.7,119124.78
EMP000144,40,UK,Retail,On-site,2019,45.1,99,100,6.7,1,100,Medium,10.2,33527.33
EMP000145,56,India,Healthcare,Remote,2022,42.7,96,98,5.4,4,95,Low,10.0,55279.46
EMP000146,55,Germany,Tech,Remote,2019,53.3,84,97,6.0,4,98,High,8.9,74741.84
EMP000147,34,Germany,Healthcare,Hybrid,2018,45.4,84,88,5.8,2,96,Medium,9.9,76929.78
EMP000148,21,Australia,Finance,Hybrid,2020,53.2,80,82,4.7,1,85,High,8.4,58326.06
EMP000149,32,USA,Tech,Remote,2025,54.9,86,92,6.2,3,82,High,7.3,114813.27
EMP000150,57,Australia,Retail,Remote,2024,40.7,114,100,6.7,3,100,Low,10.1,83564.24
EMP000151,40,USA,Retail,Remote,2024,38.1,85,96,4.3,4,91,Low,10.0,34721.22
EMP000152,25,Australia,Education,Remote,2020,33.1,80,100,6.9,1,100,Low,9.6,87587.65
EMP000153,49,USA,Education,On-site,2021,56.0,66,78,6.3,5,100,High,9.6,110023.71
EMP000154,36,Australia,Finance,Remote,2022,58.2,88,91,7.7,4,94,High,10.3,117699.54
EMP000155,54,France,Healthcare,Hybrid,2019,49.8,114,100,8.9,0,100,Medium,9.1,59297.67
EMP000156,28,UK,Healthcare,Remote,2025,53.9,106,100,8.6,1,100,High,9.7,129220.67
EMP000157,22,Germany,Education,Remote,2018,60.0,61,74,4.2,6,77,High,8.2,134490.41
EMP000158,24,Canada,Retail,On-site,2022,49.5,111,100,7.8,2,100,Medium,10.7,138165.08
EMP000159,21,USA,Education,On-site,2021,33.6,101,100,6.7,0,98,Low,9.3,113456.06
EMP000160,55,France,Healthcare,Remote,2023,36.8,100,100,4.4,4,98,Low,10.5,104338.84
EMP000161,22,Australia,Healthcare,On-site,2022,44.4,72,81,4.1,3,76,Medium,7.8,77858.73
EMP000162,43,Canada,Healthcare,Hybrid,2020,54.4,95,100,7.6,3,100,High,10.9,59217.88
EMP000163,42,USA,Education,Remote,2022,35.8,110,99,4.8,2,100,Low,10.2,110411.52
EMP000164,56,France,Education,Hybrid,2024,51.5,85,85,6.0,6,92,Medium,8.8,133129.9
EMP000165,56,Italy,Retail,On-site,2024,42.7,102,87,4.4,6,95,Low,9.8,93179.9
EMP000166,41,Canada,Finance,On-site,2022,56.5,97,84,5.1,0,75,High,7.0,79323.42
EMP000167,57,UK,Tech,Remote,2020,39.1,104,100,7.7,0,100,Low,9.8,127143.6
EMP000168,25,USA,Tech,Hybrid,2025,35.0,92,100,7.7,2,100,Low,10.2,41485.75
EMP000169,52,France,Finance,On-site,2025,49.1,73,86,5.3,4,90,Medium,9.4,47012.93
EMP000170,59,Canada,Healthcare,Remote,2023,51.7,88,86,4.1,6,77,Medium,8.2,102386.33
EMP000171,56,Germany,Retail,On-site,2018,32.6,104,100,8.5,4,100,Low,10.0,57198.77
EMP000172,22,UK,Tech,Remote,2020,50.1,77,76,4.3,4,87,Medium,8.6,101137.44
EMP000173,42,Australia,Healthcare,On-site,2023,50.1,93,100,9.0,5,100,Medium,10.1,117678.06
EMP000174,56,UK,Finance,On-site,2023,58.8,85,87,7.2,3,96,High,9.3,79137.34
EMP000175,32,Australia,Retail,On-site,2023,59.4,96,81,6.4,3,86,High,8.1,146899.76
EMP000176,50,Canada,Education,Hybrid,2025,45.6,100,100,7.1,3,100,Medium,10.4,45325.62
EMP000177,34,USA,Education,On-site,2018,33.5,97,95,5.1,2,90,Low,9.7,71558.61
EMP000178,43,France,Healthcare,On-site,2021,58.3,112,99,8.4,1,98,High,9.8,98950.49
EMP000179,58,Canada,Education,On-site,2018,54.5,83,90,5.9,2,92,High,8.5,66561.5
EMP000180,22,UK,Education,Hybrid,2022,36.7,114,100,8.8,3,100,Low,10.2,99019.6
EMP000181,21,India,Education,On-site,2018,48.2,106,100,7.8,1,97,Medium,8.8,77839.56
EMP000182,54,France,Retail,Remote,2021,45.2,89,92,5.2,3,85,Medium,9.2,142373.9
EMP000183,52,France,Finance,Hybrid,2020,36.5,87,100,7.1,0,100,Low,9.1,37361.96
EMP000184,31,Australia,Retail,Hybrid,2022,52.6,78,92,7.1,5,87,High,8.2,50479.77
EMP000185,27,Germany,Tech,Remote,2024,50.8,73,83,4.3,4,82,Medium,8.4,127676.43
EMP000186,58,Australia,Healthcare,Hybrid,2024,42.8,90,90,4.7,5,95,Low,10.2,53354.7
EMP000187,57,India,Tech,Hybrid,2023,41.6,90,100,8.8,1,100,Low,10.4,80229.67
EMP000188,59,Italy,Tech,On-site,2022,48.6,110,93,5.6,3,98,Medium,9.5,53862.75
EMP000189,31,India,Tech,On-site,2021,43.6,89,100,8.2,1,100,Low,10.0,48005.84
EMP000190,49,Australia,Healthcare,Remote,2018,41.8,106,100,6.3,0,100,Low,10.4,144640.16
EMP000191,49,France,Healthcare,Hybrid,2024,38.4,106,100,8.7,2,100,Low,9.9,129015.86
EMP000192,35,Australia,Tech,Remote,2025,56.7,72,87,6.3,2,91,High,9.4,35739.7
EMP000193,44,USA,Finance,Remote,2021,33.2,78,84,4.2,6,94,Low,10.3,85433.63
EMP000194,48,Australia,Education,Remote,2019,40.6,80,100,6.1,3,100,Low,10.8,38245.54
EMP000195,28,Italy,Tech,Hybrid,2023,53.1,79,88,7.1,0,94,High,9.7,44566.37
EMP000196,30,India,Tech,Hybrid,2024,54.0,86,86,5.5,3,88,High,8.1,99890.72
EMP000197,30,France,Healthcare,Hybrid,2021,40.1,95,100,8.6,1,100,Low,10.9,81849.23
EMP000198,50,France,Finance,Remote,2019,57.8,102,91,7.4,6,95,High,10.3,149089.85
EMP000199,32,USA,Healthcare,On-site,2025,57.6,82,81,5.3,6,92,High,9.5,131039.83
EMP000200,31,Canada,Retail,Remote,2019,39.6,85,100,7.8,6,100,Low,9.2,117353.66
EMP000201,51,France,Healthcare,Remote,2018,44.7,85,85,4.8,6,78,Medium,7.0,120982.2
EMP000202,43,UK,Tech,Hybrid,2019,50.7,102,100,8.4,0,100,Medium,10.5,49208.6
EMP000203,23,UK,Tech,Hybrid,2019,59.8,91,83,4.5,5,74,High,7.6,54484.28
EMP000204,47,USA,Tech,On-site,2019,50.6,80,99,5.9,0,100,Medium,9.0,131765.73
EMP000205,54,Australia,Tech,Remote,2020,52.8,118,99,7.4,3,100,High,9.8,86438.29
EMP000206,24,Canada,Education,Remote,2025,51.7,81,94,8.4,1,100,Medium,10.2,79514.62
EMP000207,24,Germany,Finance,Hybrid,2020,35.4,82,100,5.9,1,100,Low,10.1,91213.17
EMP000208,24,Italy,Tech,Remote,2020,31.6,99,100,6.4,5,100,Low,9.3,32751.94
EMP000209,44,France,Tech,Remote,2025,40.0,94,100,7.9,5,100,Low,9.7,92072.29
EMP000210,53,USA,Retail,Hybrid,2021,32.7,91,100,5.1,0,100,Low,9.8,149801.7
EMP000211,24,UK,Healthcare,Remote,2022,44.9,82,94,4.9,4,95,Medium,10.5,144037.53
EMP000212,23,Canada,Finance,On-site,2022,30.8,105,95,4.1,2,99,Low,9.4,92169.45
EMP000213,46,India,Healthcare,Remote,2022,56.2,108,100,8.2,1,98,High,9.0,84982.43
EMP000214,59,UK,Healthcare,Hybrid,2018,57.1,114,97,8.5,5,97,High,9.3,140714.77
EMP000215,50,UK,Education,Remote,2025,31.1,110,100,5.4,1,98,Low,10.5,146980.16
EMP000216,26,Australia,Tech,On-site,2024,32.0,85,96,6.4,2,100,Low,10.9,71681.2
EMP000217,35,Canada,Healthcare,Hybrid,2022,56.5,106,89,6.0,1,91,High,8.4,104931.05
EMP000218,43,India,Retail,Remote,2018,35.9,87,100,6.8,0,100,Low,9.3,103023.27
EMP000219,24,USA,Retail,On-site,2022,42.5,105,92,4.4,1,100,Low,10.1,147662.02
EMP000220,59,France,Education,Hybrid,2022,51.2,80,94,6.7,5,91,Medium,9.8,88163.55
EMP000221,22,UK,Retail,Remote,2024,32.9,100,100,8.3,3,100,Low,9.7,64870.51
EMP000222,55,France,Retail,Hybrid,2024,31.6,110,100,7.9,3,100,Low,10.0,49764.76
EMP000223,41,UK,Finance,Remote,2019,49.8,77,94,4.8,5,88,Medium,8.5,96957.69
EMP000224,53,Canada,Education,Hybrid,2020,41.7,111,100,8.0,2,97,Low,9.1,77685.77
EMP000225,32,Germany,Finance,On-site,2024,45.7,99,94,5.4,6,100,Medium,10.8,106149.89
EMP000226,38,Italy,Finance,On-site,2020,34.7,115,100,7.5,2,100,Low,11.0,132861.51
EMP000227,53,Australia,Tech,On-site,2022,47.9,88,91,4.2,5,78,Medium,8.7,128445.3
EMP000228,39,Australia,Retail,Hybrid,2024,56.5,84,99,8.0,5,100,High,10.3,80131.32
EMP000229,24,France,Retail,On-site,2020,59.9,95,94,8.9,0,100,High,10.6,112423.32
EMP000230,46,Italy,Finance,On-site,2019,32.4,84,100,7.7,3,100,Low,9.6,128287.62
EMP000231,31,Germany,Tech,Hybrid,2021,57.0,81,87,7.3,1,90,High,8.5,128310.61
EMP000232,48,UK,Retail,Hybrid,2024,54.8,67,77,4.5,2,78,High,8.1,71752.97
EMP000233,42,USA,Education,Remote,2022,52.1,104,98,8.0,1,100,High,9.6,33733.87
EMP000234,48,India,Tech,On-site,2024,50.5,79,90,4.8,2,83,Medium,8.8,55863.58
EMP000235,34,Italy,Healthcare,On-site,2020,57.1,85,83,5.2,2,87,High,8.5,134907.21
EMP000236,58,USA,Education,On-site,2020,36.8,96,100,5.9,0,95,Low,9.3,126282.52
EMP000237,34,UK,Education,Remote,2019,57.5,86,80,5.4,3,88,High,7.8,139292.42
EMP000238,27,USA,Healthcare,Remote,2021,48.6,83,99,6.8,5,100,Medium,9.2,106210.69
EMP000239,56,Canada,Healthcare,Remote,2020,32.9,82,100,5.2,0,98,Low,9.4,66151.83
EMP000240,50,USA,Finance,On-site,2024,48.0,65,79,4.3,4,76,Medium,8.3,148683.4
EMP000241,50,France,Tech,On-site,2025,42.9,108,96,5.3,2,100,Low,10.0,109059.01
EMP000242,29,France,Education,On-site,2021,57.3,111,96,7.3,5,100,High,10.5,81651.29
EMP000243,39,France,Education,On-site,2022,56.8,100,95,6.2,6,97,High,9.7,101003.66
EMP000244,48,Canada,Healthcare,Remote,2025,37.0,105,100,7.9,5,100,Low,10.8,148060.84
EMP000245,38,UK,Tech,Remote,2020,40.9,97,100,6.4,3,89,Low,8.3,53531.73
EMP000246,33,Italy,Tech,On-site,2022,46.1,102,100,8.3,5,100,Medium,9.8,85542.23
EMP000247,29,Italy,Retail,Remote,2024,54.5,98,86,5.4,4,94,High,9.8,135583.52
EMP000248,39,UK,Retail,On-site,2025,43.5,116,100,8.6,4,100,Low,9.5,117583.24
EMP000249,53,Italy,Healthcare,Remote,2024,54.7,80,99,8.8,3,100,High,10.4,60912.87
EMP000250,22,France,Finance,On-site,2025,50.0,107,98,8.0,0,100,Medium,9.8,101558.58
EMP000251,35,Germany,Healthcare,On-site,2022,52.5,77,96,6.1,1,99,High,9.2,136564.69
EMP000252,29,Australia,Finance,Remote,2023,48.4,113,100,8.4,5,100,Medium,9.3,138294.4
EMP000253,37,USA,Retail,Remote,2022,50.8,76,90,6.7,0,95,Medium,8.9,77924.25
EMP000254,45,Canada,Healthcare,Hybrid,2020,51.9,82,99,7.3,0,100,Medium,9.6,81591.73
EMP000255,50,France,Tech,Remote,2024,43.4,83,100,8.0,2,100,Low,10.2,139996.23
EMP000256,56,Germany,Healthcare,On-site,2022,41.8,109,95,6.6,0,100,Low,10.9,107488.86
EMP000257,39,France,Education,Remote,2023,30.8,103,100,7.2,0,100,Low,10.4,38605.43
EMP000258,25,Canada,Retail,Hybrid,2018,45.9,85,100,8.2,4,100,Medium,9.5,42631.1
EMP000259,44,Canada,Education,Hybrid,2025,45.2,96,100,8.8,2,100,Medium,9.0,33714.69
EMP000260,35,USA,Education,Remote,2020,44.6,100,87,4.7,3,95,Medium,10.5,74976.43
EMP000261,29,India,Retail,Hybrid,2025,59.5,89,81,5.4,4,85,High,7.8,76261.43
EMP000262,33,France,Education,On-site,2025,46.3,108,100,7.8,1,100,Medium,9.1,66279.99
EMP000263,41,USA,Finance,Hybrid,2020,59.0,79,93,6.8,1,80,High,8.0,46703.6
EMP000264,37,Germany,Tech,Remote,2024,52.0,89,93,5.5,3,84,High,9.1,85373.46
EMP000265,57,France,Tech,Hybrid,2022,46.3,99,91,5.1,6,100,Medium,9.2,134396.3
EMP000266,37,USA,Finance,Hybrid,2021,50.4,106,93,6.3,6,98,Medium,9.4,41240.69
EMP000267,56,USA,Education,Hybrid,2018,38.6,87,93,5.0,0,100,Low,10.7,91353.06
EMP000268,34,France,Education,Hybrid,2020,43.7,88,100,6.2,0,100,Low,9.1,126790.72
EMP000269,37,USA,Healthcare,On-site,2022,49.2,86,86,5.5,5,84,Medium,7.8,60725.71
EMP000270,36,Italy,Finance,Remote,2021,52.9,112,100,8.6,2,100,High,9.4,107336.43
